10000;Mitte;27498;265;166;2012;526;556;13252;145;1351;1369;368;84;30;1515;344;910;4350
10111;Tiergarten Süd;33546;445;370;3166;740;857;17263;103;1960;1583;439;82;14;1638;212;953;6051
10112;Regierungsviertel;90626;883;620;4537;808;1165;54452;141;2273;2912;507;94;28;3288;1043;658;8491
10113;Alexanderplatz;40567;310;192;2517;692;589;23479;151;1466;2382;418;88;38;2004;617;1005;5315
10114;Brunnenstraße Süd;15711;116;78;855;177;269;8965;221;814;1843;310;65;24;1360;583;228;2831
10221;Moabit West;19996;226;125;1576;488;416;6917;112;1123;1029;303;99;40;1266;156;1411;3555
10222;Moabit Ost;36292;211;112;2055;494;579;9000;101;1292;1372;392;117;32;1281;184;1185;4452
10331;Osloer Straße;20616;221;127;1960;478;562;10198;120;1204;876;486;88;31;1251;192;647;4022
10332;Brunnenstraße Nord;18278;216;112;1601;477;490;8363;192;1186;922;376;93;21;1417;349;629;3461
10441;Parkviertel;16043;142;71;1522;382;493;8373;140;1236;814;266;44;24;1325;233;455;3796
10442;Wedding Zentrum;18405;204;119;1833;506;523;7576;101;1112;784;337;62;25;1224;257;1155;3763
19900;Bezirk (Mi), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20000;Friedrichshain-Kreuzberg;21429;337;204;1622;517;386;10668;169;1123;1653;276;105;41;1883;503;1576;4044
20101;Südliche Friedrichstadt;24930;470;279;1687;563;487;11878;164;1900;1437;333;108;27;1643;279;1834;4030
20202;Tempelhofer Vorstadt;17807;177;93;1233;359;369;9706;202;1102;1797;317;86;48;1402;291;442;3030
20303;nördliche Luisenstadt;30768;554;346;2479;1038;461;14615;106;1215;1592;279;111;31;2342;719;2697;4542
20304;südliche Luisenstadt;21905;522;343;1657;602;343;9667;114;945;1372;232;110;34;2027;724;4107;3563
20405;Karl-Marx-Allee-Nord;11912;132;64;949;217;247;6671;285;906;1127;332;72;43;1268;302;119;3493
20407;Karl-Marx-Allee-Süd;25954;448;299;2174;668;394;13614;195;979;1705;253;62;17;1884;510;1747;5531
20506;Frankfurter Allee Nord;15673;101;41;1041;284;328;7269;115;659;1717;213;183;51;2089;433;483;3563
20508;Frankfurter Allee Süd FK;19630;258;138;1798;498;316;9177;112;618;1620;216;100;46;2328;832;1912;4542
29900;Bezirk (Fh-Kb), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
30000;Pankow;10906;80;41;718;159;262;6034;182;756;1225;312;64;25;1088;332;151;2374
30101;Buch;11306;69;31;1124;264;483;5951;163;904;672;320;176;82;1199;119;163;2492
30202;Blankenfelde/Niederschönhausen;5969;25;0;546;98;221;2834;90;503;477;329;54;33;629;127;98;1349
30203;Buchholz;4998;6;0;242;28;231;2589;158;540;214;298;17;6;563;180;51;794
30304;Karow;4140;26;10;369;62;120;1971;47;385;458;374;73;26;427;78;62;728
30307;Blankenburg/Heinersdorf/Märchenland;9657;27;20;434;115;237;5513;129;753;685;515;95;34;637;81;41;1085
30405;Schönholz/Wilhelmsruh/Rosenthal;5697;45;17;405;79;141;2922;90;619;422;360;39;28;529;113;45;1047
30406;Pankow Zentrum;10171;65;40;682;122;273;5979;139;597;1483;301;43;20;878;315;102;2032
30408;Pankow Süd;8746;59;35;518;94;200;4073;124;703;1136;177;44;15;950;230;115;1977
30509;Weißensee;9997;86;59;888;194;331;5256;169;495;842;194;86;35;1151;301;153;2547
30510;Weißensee Ost;9811;59;7;780;118;302;4374;203;800;498;243;98;46;1187;328;216;2348
30611;Prenzlauer Berg Nordwest;15566;129;74;895;231;320;9392;254;797;1907;340;43;12;1301;418;324;4446
30612;Prenzlauer Berg Nord;13360;96;37;582;136;232;7888;203;751;2051;261;59;29;1223;317;129;2810
30613;Helmholtzplatz;11214;94;31;693;139;255;6910;125;429;1573;317;45;13;1171;384;201;3231
30614;Prenzlauer Berg Ost;17319;141;80;1120;272;298;9973;249;1373;1709;421;84;15;2149;990;233;2799
30715;Prenzlauer Berg Südwest;16223;96;34;1250;355;340;9818;252;890;2045;436;57;19;1422;604;107;3795
30716;Prenzlauer Berg Süd;9751;58;24;480;101;135;5293;260;829;1352;297;40;12;1138;358;119;2261
39900;Bezirk (Pk), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
40000;Charlottenburg-Wilmersdorf;16296;156;87;1172;259;424;8642;226;1300;1031;328;52;25;1046;200;284;2824
40101;Charlottenburg-Nord;16287;190;87;1604;365;689;6949;314;1963;339;262;103;62;1408;134;1012;3968
40202;Heerstrasse;11606;71;39;1150;307;252;4850;205;984;535;622;47;24;1071;331;181;2244
40203;Westend;16903;91;38;1110;223;447;10254;269;1372;600;241;45;21;935;122;126;2635
40304;Schloß Charlottenburg;10314;70;25;945;132;334;5338;182;784;941;243;58;37;809;70;190;2294
40305;Mierendorffplatz;13533;172;73;902;166;511;5742;152;1014;557;186;53;27;1286;325;252;2427
40306;Otto-Suhr-Allee;20073;180;109;1611;341;491;10291;139;1375;1532;337;94;37;1596;386;217;3585
40307;Neue Kantstraße;12777;176;97;969;260;382;6655;290;1263;1167;256;42;25;801;88;235;2623
40308;Kantstraße;24548;214;116;1450;311;390;14110;112;827;1641;409;33;19;1088;125;683;3300
40309;Kurfürstendamm;55407;712;395;4446;1146;1055;30872;246;2052;1780;466;71;32;2382;440;641;8161
40310;Halensee;13349;101;47;757;189;406;7584;230;1467;757;351;20;7;710;61;142;2602
40411;Grunewald;8661;48;37;505;69;303;4687;292;1318;499;845;43;16;680;106;96;1865
40412;Schmargendorf;7790;48;14;580;103;235;4533;221;1332;435;428;48;7;538;41;55;1442
40413;Wiesbadener Straße;6705;49;38;425;76;164;3963;196;780;1227;207;33;11;594;142;55;1227
40514;Düsseldorfer Straße;12738;116;71;724;138;341;6702;212;1328;1013;325;29;16;1087;473;190;2283
40515;Barstraße;10644;60;33;902;186;312;5342;173;942;1294;192;53;7;644;106;179;1958
40516;Volkspark Wilmersdorf;13777;126;71;773;176;259;6328;159;920;1229;168;29;12;673;126;209;1958
40617;Forst Grunewald;142391;0;0;14130;4348;4348;86957;0;15217;3261;0;4348;4348;10870;2174;2174;20652
49900;Bezirk (Ch-Wi), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
50000;Spandau;10981;111;65;1221;281;442;5029;129;722;449;296;70;28;975;128;187;2673
50101;Hakenfelde;7816;58;33;845;190;265;3945;116;774;348;228;83;41;716;46;87;1888
50102;Falkenhagener Feld;7734;69;30;1071;213;429;3183;104;578;364;263;72;25;798;89;94;2422
50103;Spandau Mitte;16675;216;147;1932;496;654;7222;108;773;751;208;44;14;1250;158;496;3808
50204;Brunsbütteler Damm;7108;55;26;672;140;221;3435;145;575;255;345;60;17;856;106;85;1660
50205;Heerstraße Nord;9918;91;46;1467;327;482;3879;70;545;225;404;113;49;1235;338;141;3194
50206;Wilhelmstadt;14752;136;60;1487;355;510;7167;111;800;651;353;49;16;1112;90;182;3272
50307;Haselhorst;11703;133;57;1106;216;400;5718;235;978;432;184;114;51;781;102;191;2395
50308;Siemensstadt;12379;84;61;974;205;426;6269;167;875;502;145;53;23;1233;167;160;2595
50409;Gatow/Kladow;4823;20;20;489;105;235;2357;140;325;245;469;40;15;399;15;40;989
59900;Bezirk (Sp), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60000;Steglitz-Zehlendorf;8429;54;29;576;115;247;4618;199;863;841;384;47;22;840;165;119;1497
60101;Schloßstr.;19090;165;92;861;201;275;12001;169;948;1758;302;37;23;902;160;119;2253
60102;Albrechtstr.;6378;44;17;501;82;245;3071;195;687;505;241;59;40;653;85;118;1463
60203;Lankwitz;6802;54;28;590;127;260;2949;208;538;262;224;68;21;796;92;187;1433
60204;Ostpreußendamm;6782;31;14;700;134;225;3357;191;689;683;299;40;23;863;117;103;1612
60305;Teltower Damm;7779;38;30;568;86;245;4180;142;579;1446;443;27;6;896;136;103;1422
60306;Drakestr.;6919;29;17;496;102;201;4036;191;857;631;423;17;6;594;116;85;1212
60407;Zehlendorf Südwest;7627;42;12;567;116;301;3970;166;879;609;443;58;23;763;108;108;1414
60408;Zehlendorf Nord;9332;47;33;427;106;197;5654;251;1519;1087;700;35;9;1183;472;99;1282
69900;Bezirk (St-Zd), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
70000;Tempelhof-Schöneberg;11764;120;74;952;202;332;5967;216;890;879;286;66;26;989;179;302;2330
70101;Schöneberg-Nord;19331;318;203;1551;398;475;9915;143;925;1305;316;58;24;1378;195;589;3951
70202;Schöneberg-Süd;13400;86;56;1065;209;330;6662;157;716;1530;253;54;28;963;167;354;2587
70303;Friedenau;10138;80;54;506;93;229;6273;180;946;1106;171;52;30;876;236;108;1645
70404;Tempelhof;13615;105;50;1109;242;410;6436;305;1178;706;180;74;14;1146;276;365;2592
70505;Mariendorf;7995;64;33;700;144;285;3729;211;797;322;411;76;41;912;155;175;1810
70606;Marienfelde;7069;62;34;800;137;233;3340;171;557;495;153;68;19;675;50;168;1569
70707;Lichtenrade;6052;43;22;682;121;198;2832;225;672;346;486;47;18;627;69;204;1384
79900;Bezirk (Th-Sb), nicht zuzuordnen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
80000;Neukölln;13851;156;88;1227;363;430;6801;193;950;663;374;73;35;1238;195;337;3250
80101;Schillerpromenade;15657;206;117;1732;582;465;7455;89;812;806;314;89;46;1388;323;1025;4381
80102;Neuköllner Mitte/Zentrum;24540;297;146;1969;629;516;12579;146;1009;983;323;86;37;1661;230;454;4684
80103;Reuterstraße;16506;191;108;1255;401;412;8479;73;655;1220;274;55;30;1322;477;386;3378
80104;Rixdorf;12578;166;93;1180;366;383;6120;137;825;996;322;81;46;1209;171;344;3524
80105;Köllnische Heide;17390;109;51;1531;378;647;8765;346;1775;308;461;109;58;1916;141;449;5036
80206;Britz;12562;129;73;1105;270;448;5702;263;1328;389;511;110;56;1131;150;167;3014
80207;Buckow;5625;42;32;632;179;267;2291;175;677;137;344;46;18;695;70;70;1484
80308;Gropiusstadt;10917;128;87;917;261;402;5163;147;641;413;228;49;14;1444;130;144;2880
80409;Buckow Nord;11220;52;0;1044;209;438;5709;271;1221;501;376;52;31;741;52;125;2442
80410;Rudow;7109;56;32;724;171;278;3379;328;749;331;585;32;14;724;53;86;1540
